Biomark Device Manager Version 1.2.37
Export All Records To File
Export Date/Time: 9/4/2024 3:32:51 PM

Scan Date   Scan Time     Download Date  Download Time  S/N   Reader ID  HEX Tag ID      DEC Tag ID        Temperature,C  Signal,mV  Is Duplicate  
----------  ------------  -------------  -------------  ----  ---------  --------------  ----------------  -------------  ---------  ------------  
10/23/2023  15:35:55.190  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:55.260  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:55.320  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:55.350  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:55.380  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:55.410  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:55.440  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:55.500  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:55.560  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:55.620  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:55.650  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:55.680  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:55.710  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:55.740  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:55.770  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:55.840  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
